id,PlatformId,GenreId,Level,Probability
1,13,6,1,0.295350747986067
2,3,1,4,0.32775097535584186
3,5,2,4,0.32848486223582096
4,5,1,4,0.32287993937105447
5,13,1,4,0.3419998865112339
6,6,2,4,0.32744911217421113
7,8,3,4,0.32115177135240697
8,14,2,4,0.354696856033148
9,4,7,1,0.29323490778166017
10,14,3,4,0.3470133580919101
11,5,1,4,0.32287993937105447
12,4,9,1,0.400553369202963
13,8,9,1,0.4340601233840293
14,13,1,4,0.3419998865112339
15,14,1,4,0.34896888551672445
16,17,1,4,0.3764794955842022
17,1,1,4,0.33639451982301316
18,5,1,4,0.32287993937105447
19,5,1,4,0.32287993937105447
20,5,2,4,0.32848486223582096
21,6,8,1,0.3598281410198052
22,3,3,4,0.32652522980301196
23,1,5,4,0.285530382524152
24,6,1,4,0.32186100704395787
25,17,1,4,0.3764794955842022
26,5,6,3,0.2640697647965269
27,6,8,1,0.3598281410198052
28,13,1,4,0.3419998865112339
29,3,3,4,0.32652522980301196
30,3,2,4,0.3334122184200561
31,8,4,4,0.30167206490464943
32,6,11,1,0.5536567081995885
33,12,4,4,0.3140246966769698
34,4,2,4,0.3304735100056046
35,4,5,4,0.2740760607703774
36,4,2,4,0.3304735100056046
37,5,2,4,0.32848486223582096
38,3,5,4,0.27702326322857684
39,12,1,4,0.3360944911597036
40,13,11,1,0.5925284916528044
41,5,6,3,0.2640697647965269
42,6,4,4,0.3011961857493331
43,3,3,4,0.32652522980301196
44,12,4,4,0.3140246966769698
45,8,1,4,0.3226825976843794
46,3,11,1,0.5240392189071212
47,5,1,4,0.32287993937105447
48,6,11,1,0.5536567081995885
49,13,4,4,0.31959490469017476
50,4,6,3,0.267461631051527
51,4,4,4,0.3044025562374992
52,14,5,4,0.2933398011480135
53,12,4,4,0.3140246966769698
54,4,1,4,0.32484409459772684
55,14,1,4,0.34896888551672445
56,6,5,4,0.2707767848596803
57,12,10,1,0.5206460337599172
58,17,7,1,0.33707814805722086
59,6,4,4,0.3011961857493331
60,4,5,4,0.2740760607703774
61,12,11,1,0.5896045804040819
62,1,2,4,0.34213940908204565
63,8,11,1,0.569105445443415
64,17,4,4,0.3525420148844149
65,19,1,4,0.4005047607837492
66,1,3,4,0.33527832155128146
67,4,2,4,0.3304735100056046
68,13,11,1,0.5925284916528044
69,3,4,4,0.3073773279492602
70,17,11,1,0.595019155416596
71,13,9,1,0.4563515369899776
72,13,1,4,0.3419998865112339
73,1,10,1,0.43092719170327587
74,14,1,4,0.34896888551672445
75,3,2,4,0.3334122184200561
76,6,2,4,0.32744911217421113
77,8,12,1,0.6382218201488541
78,6,11,1,0.5536567081995885
79,2,2,4,0.3373004248801497
80,5,2,4,0.32848486223582096
81,8,8,1,0.3740181992719616
82,14,3,4,0.3470133580919101
83,3,5,4,0.27702326322857684
84,17,6,1,0.29120990906207367
85,5,2,4,0.32848486223582096
86,12,1,4,0.3360944911597036
87,3,9,1,0.39021052564072156
88,13,5,4,0.28720820069558795
89,13,5,4,0.28720820069558795
90,13,4,4,0.31959490469017476
91,3,5,4,0.27702326322857684
92,12,1,4,0.3360944911597036
93,1,2,4,0.34213940908204565
94,3,12,1,0.595267500826163
95,12,8,1,0.39210356350526354
96,4,5,4,0.2740760607703774
97,14,9,1,0.4579489261063995
98,17,12,1,0.6630783639912359
99,8,3,4,0.32115177135240697
100,12,1,4,0.3360944911597036
101,5,3,4,0.32153753697126886
102,12,1,4,0.3360944911597036
103,17,3,4,0.37429651169696565
104,12,9,1,0.4537656361111729
105,14,1,4,0.34896888551672445
106,6,11,1,0.5536567081995885
107,5,1,4,0.32287993937105447
108,8,1,4,0.3226825976843794
109,1,4,4,0.3160761836385297
110,5,3,4,0.32153753697126886
111,17,5,4,0.31802398232177564
112,5,1,4,0.32287993937105447
113,19,1,4,0.4005047607837492
114,8,2,4,0.32826081966256604
115,8,9,1,0.4340601233840293
116,3,2,4,0.3334122184200561
117,8,3,4,0.32115177135240697
118,12,1,4,0.3360944911597036
119,19,1,4,0.4005047607837492
120,3,12,1,0.595267500826163
121,1,7,3,0.2712335009052231
122,5,4,4,0.30234171198480225
123,1,2,4,0.34213940908204565
124,14,9,1,0.4579489261063995
125,14,3,4,0.3470133580919101
126,5,8,1,0.3515601164129067
127,4,2,4,0.3304735100056046
128,4,5,4,0.2740760607703774
129,3,4,4,0.3073773279492602
130,3,1,4,0.32775097535584186
131,12,5,4,0.28207192502322836
132,8,5,4,0.2709524831577994
133,3,2,4,0.3334122184200561
134,4,5,4,0.2740760607703774
135,3,4,4,0.3073773279492602
136,3,3,4,0.32652522980301196
137,4,11,1,0.5347686097987576
138,8,6,1,0.2797464256242438
